id,name,floor,capacity,description
1,A001,1.kat,110,Amfi
2,A002,1.kat,110,Amfi
3,A003,1.kat,110,Amfi
4,A004,1.kat,110,Amfi
5,A005,1.kat,110,Amfi
6,A006,1.kat,110,Amfi
7,A101,1.kat,110,Amfi
8,A102,1.kat,110,Amfi
9,A103,1.kat,110,Amfi
10,A104,1.kat,110,Amfi
11,A105,1.kat,110,Amfi
12,A106,1.kat,110,Amfi
13,A201,1.kat,110,Amfi
14,A202,1.kat,110,Amfi
15,D001,1.kat,110,Sınıf
16,D002,1.kat,110,Sınıf
17,D003,1.kat,110,Sınıf
18,D004,1.kat,110,Sınıf
19,D005,1.kat,110,Sınıf
20,D101,1.kat,110,Sınıf
21,D102,1.kat,110,Sınıf
22,D103,1.kat,110,Sınıf
23,D104,1.kat,110,Sınıf
24,D105,1.kat,110,Sınıf
25,D201,1.kat,110,Sınıf
26,D202,1.kat,110,Sınıf
27,D203,1.kat,110,Sınıf
28,D204,1.kat,110,Sınıf
29,D205,1.kat,110,Sınıf
30,D301,1.kat,110,Sınıf
31,D302,1.kat,110,Sınıf
32,D303,1.kat,110,Sınıf
33,D401,1.kat,110,Sınıf
34,D402,1.kat,110,Sınıf
35,S-1,1.kat,110,Sınıf
36,S-2,1.kat,110,Sınıf
37,S-3,1.kat,110,Sınıf
38,TÇS-1,1.kat,110,Sınıf
39,TÇS-2,1.kat,110,Sınıf
40,BS-1,4.kat,110,Sınıf
41,BS-2,4.kat,110,Sınıf
